objectid,facilityname,facilitytype,landline,address,street,landmark,locality,subdistrict,district,state,posatalcode,country,geometry,index_right,ward_lgd_code,ward_lgd_name,sourcewardname,sourcewardcode
188568,Nava Naroda UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382350,India,POINT (72.662875000222 23.04190000021182),47.0,1302524.0,"Nikol, Ahmedabad (M.Corp.) Ward No. 24",Nikol,24
188569,Girdharnagar UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,380004,India,POINT (72.60086200006535 23.049114999852232),28.0,1302516.0,"Shahibag, Ahmedabad (M.Corp.) Ward No. 16",Shahibag,16
188570,Kanbha,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.73086842029662 23.01087430988133),,,,,
188573,Singarva 1,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.68855552013478 23.01783006999463),,,,,
188575,Godhavi,Sub Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382115,India,POINT (72.40861899978302 23.025928999662355),,,,,
188576,Kubadthal,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.76006493006179 23.03257130019194),,,,,
188577,Kathwada-1,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.69178438955772 23.034062130095766),,,,,
188578,Zanu,Sub Centre,,NA,,,,Daskroi,Ahmadabad,Gujarat,382430,India,POINT (72.73982029020635 23.043258059774466),,,,,
188580,Thorimubarak,Sub Centre,,NA,,,,Viramgam,Ahmadabad,Gujarat,382150,India,POINT (72.04571899986279 23.05454799979953),,,,,
188605,Vatva  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382440,India,POINT (72.61585099963865 22.953276000131343),32.0,1302547.0,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",Vatva,47
188607,Sanathal,Primary Health Centre,,NA,,,,Sanand,Ahmadabad,Gujarat,382210,India,POINT (72.46790100020337 22.966056999985703),,,,,
188608,Ishanpur  UPHC,Primary Health Centre,,NA,,,,Sabarmati,Ahmadabad,Gujarat,382405,India,POINT (72.59382999969935 22.96669000007075),2.0,1302546.0,"Lambha, Ahmedabad (M.Corp.) Ward No. 46",Lambha,46
