day_of_year,n_samples,utci_mean,utci_p50,utci_p90,utci_p95,utci_p98,utci_sd,night_temp_mean
55,450,36.38,36.8,39.8,40.35,40.9,2.96,19.75
56,450,36.54,37.0,39.9,40.45,41.0,2.96,19.88
57,450,36.7,37.15,40.0,40.5,41.3,2.88,20.01
58,450,36.81,37.3,40.0,40.5,41.4,2.86,20.1
59,450,36.9,37.45,40.1,40.5,41.4,2.87,20.2
60,450,37.02,37.5,40.1,40.66,41.5,2.83,20.3
61,450,37.11,37.6,40.2,40.9,41.5,2.84,20.4
62,450,37.24,37.7,40.4,41.0,41.9,2.87,20.51
63,450,37.42,37.9,40.5,41.3,41.9,2.85,20.62
64,450,37.56,37.9,40.71,41.5,42.5,2.88,20.75
65,450,37.67,38.0,41.0,41.85,42.6,2.9,20.89
66,450,37.77,38.1,41.3,41.9,42.8,2.92,21.02
67,450,37.88,38.1,41.5,42.1,42.9,2.94,21.13
68,450,38.04,38.2,41.61,42.45,43.1,2.89,21.24
69,450,38.21,38.3,41.8,42.66,43.9,2.91,21.37
70,450,38.42,38.5,41.9,42.9,44.4,2.86,21.51
71,450,38.64,38.85,42.0,42.9,44.8,2.83,21.68
72,450,38.8,39.0,42.01,43.05,44.8,2.85,21.84
73,450,38.99,39.3,42.31,43.2,44.9,2.87,22.0
74,450,39.21,39.4,42.7,43.61,45.0,2.86,22.17
75,450,39.43,39.7,42.81,43.85,45.0,2.85,22.35
76,450,39.67,39.9,42.9,43.95,45.0,2.78,22.54
77,450,39.87,40.1,43.01,44.26,45.0,2.71,22.75
78,450,40.1,40.3,43.2,44.5,45.1,2.66,22.95
79,450,40.35,40.45,43.6,44.66,45.5,2.63,23.13
80,450,40.62,40.7,43.9,44.85,45.8,2.61,23.31
81,450,40.86,40.85,44.41,45.1,45.9,2.57,23.51
82,450,41.05,41.1,44.6,45.16,45.9,2.54,23.67
83,450,41.22,41.2,44.6,45.25,45.9,2.53,23.8
84,450,41.36,41.4,44.7,45.3,46.0,2.5,23.93
85,450,41.51,41.6,44.71,45.5,46.0,2.51,24.04
86,450,41.66,41.7,44.9,45.5,46.2,2.52,24.13
87,450,41.86,41.95,45.0,45.66,46.2,2.5,24.26
88,450,42.07,42.2,45.11,45.85,46.3,2.48,24.4
89,450,42.26,42.4,45.31,46.0,46.6,2.48,24.56
90,450,42.42,42.55,45.5,46.1,46.7,2.5,24.7
91,450,42.54,42.7,45.6,46.16,46.8,2.49,24.8
92,450,42.67,42.8,45.7,46.2,46.8,2.46,24.88
93,450,42.77,42.9,45.81,46.2,46.8,2.45,24.95
94,450,42.87,43.0,45.8,46.2,46.7,2.4,25.03
95,450,42.97,43.1,45.9,46.25,46.8,2.34,25.11
96,450,43.09,43.2,45.9,46.4,47.0,2.29,25.19
97,450,43.23,43.4,46.0,46.55,47.1,2.24,25.31
98,450,43.33,43.4,46.1,46.7,47.2,2.23,25.45
99,450,43.44,43.6,46.1,46.7,47.2,2.2,25.59
100,450,43.53,43.8,46.1,46.75,47.2,2.16,25.71
101,450,43.63,43.85,46.2,46.8,47.2,2.13,25.85
102,450,43.7,43.9,46.2,46.8,47.2,2.09,25.97
103,450,43.73,43.9,46.2,46.75,47.1,2.02,26.07
104,450,43.74,43.9,46.2,46.75,47.1,2.02,26.16
105,450,43.8,44.0,46.2,46.7,47.1,1.97,26.23
106,450,43.91,44.1,46.2,46.75,47.1,1.94,26.33
107,450,44.03,44.2,46.3,46.8,47.2,1.91,26.45
108,450,44.13,44.3,46.4,46.85,47.2,1.88,26.58
109,450,44.22,44.5,46.6,46.9,47.3,1.91,26.69
110,450,44.33,44.6,46.6,47.1,47.5,1.96,26.81
111,450,44.44,44.7,46.8,47.3,47.6,1.99,26.94
112,450,44.53,44.8,46.81,47.35,47.8,2.01,27.06
113,450,44.64,44.85,46.9,47.55,48.2,2.03,27.15
114,450,44.75,45.0,47.01,47.6,48.3,2.02,27.24
115,450,44.87,45.1,47.2,47.66,48.4,1.98,27.33
116,450,44.93,45.1,47.2,47.66,48.4,2.0,27.39
117,450,45.02,45.2,47.3,47.7,48.4,2.02,27.46
118,450,45.12,45.4,47.3,47.8,48.5,2.02,27.55
119,450,45.23,45.6,47.4,47.9,48.5,1.98,27.65
120,450,45.33,45.65,47.5,47.95,48.5,2.0,27.75
121,450,45.4,45.7,47.6,48.1,48.6,1.99,27.85
122,450,45.45,45.75,47.6,48.2,48.7,1.99,27.96
123,450,45.51,45.8,47.8,48.25,48.9,2.03,28.05
124,450,45.52,45.8,47.9,48.4,49.1,2.1,28.14
125,450,45.51,45.8,47.91,48.5,49.2,2.12,28.19
126,450,45.48,45.7,48.0,48.5,49.2,2.15,28.22
127,450,45.43,45.6,48.1,48.5,49.2,2.21,28.27
128,450,45.42,45.6,48.1,48.5,49.3,2.21,28.34
129,450,45.4,45.6,48.1,48.5,49.3,2.23,28.41
130,450,45.37,45.55,48.1,48.6,49.3,2.3,28.49
131,450,45.34,45.5,48.11,48.6,49.3,2.55,28.58
132,450,45.32,45.5,48.2,48.75,49.4,2.65,28.66
133,450,45.31,45.5,48.21,48.8,49.5,2.7,28.73
134,450,45.28,45.4,48.4,48.9,50.0,2.77,28.79
135,450,45.24,45.4,48.4,48.9,50.1,2.8,28.85
136,450,45.22,45.4,48.41,48.95,50.2,2.83,28.9
137,450,45.21,45.4,48.5,49.11,50.3,2.85,28.93
138,450,45.19,45.3,48.4,49.0,50.4,2.84,28.96
139,450,45.2,45.3,48.4,48.95,50.4,2.79,29.0
140,450,45.23,45.3,48.4,48.95,50.4,2.77,29.06
141,450,45.23,45.3,48.4,48.95,50.4,2.76,29.13
142,450,45.24,45.3,48.4,49.0,50.4,2.73,29.17
143,450,45.21,45.2,48.4,48.95,50.4,2.72,29.2
144,450,45.18,45.2,48.21,48.95,50.4,2.7,29.22
145,450,45.15,45.2,48.11,48.95,50.4,2.69,29.25
146,450,45.12,45.1,48.0,48.85,50.2,2.58,29.29
147,450,45.05,45.1,47.9,48.71,50.0,2.56,29.33
148,450,44.99,45.1,47.81,48.6,49.5,2.55,29.36
149,450,44.97,45.1,47.7,48.5,49.3,2.5,29.38
150,450,44.93,45.1,47.7,48.4,49.2,2.51,29.42
151,450,44.84,45.05,47.7,48.25,49.0,2.57,29.46
152,450,44.72,45.0,47.7,48.2,48.9,2.64,29.48
153,450,44.57,44.9,47.6,48.2,48.8,2.76,29.5
154,450,44.42,44.8,47.5,48.16,48.8,2.85,29.52
155,450,44.23,44.7,47.41,48.0,48.6,2.94,29.53
156,450,44.03,44.6,47.4,47.85,48.6,3.01,29.53
157,450,43.85,44.45,47.3,47.8,48.6,3.07,29.53
158,450,43.68,44.15,47.21,47.75,48.4,3.13,29.54
159,450,43.45,43.9,47.2,47.75,48.4,3.28,29.53
160,450,43.22,43.7,47.11,47.8,48.4,3.36,29.49
161,450,42.94,43.2,47.0,47.75,48.6,3.5,29.43
162,450,42.68,43.1,46.91,47.6,48.3,3.62,29.38
163,450,42.41,42.9,46.8,47.5,48.3,3.73,29.33
164,450,42.09,42.55,46.4,47.5,48.3,3.85,29.26
165,450,41.77,42.3,46.2,47.21,48.2,3.93,29.19
166,450,41.53,42.0,45.9,46.85,47.8,3.93,29.13
167,450,41.26,41.85,45.71,46.45,47.6,3.98,29.08
168,450,40.9,41.4,45.51,46.4,47.5,4.12,29.04
169,450,40.62,41.15,45.3,46.3,47.3,4.13,28.99
170,450,40.34,40.7,45.2,46.3,47.3,4.11,28.91
171,450,40.09,40.5,45.0,46.06,47.1,4.1,28.82
172,450,39.8,40.2,44.9,45.9,46.9,4.11,28.75
173,450,39.51,39.7,44.71,45.85,46.9,4.12,28.65
174,450,39.31,39.5,44.5,45.8,46.9,4.07,28.58
175,450,39.07,39.15,44.3,45.55,46.4,4.08,28.51
176,450,38.85,39.0,44.2,45.25,46.4,4.1,28.45
177,450,38.59,38.75,43.8,44.9,46.2,4.11,28.36
178,450,38.37,38.55,43.51,44.55,45.9,4.08,28.27
179,450,38.2,38.35,43.31,44.45,45.6,4.02,28.19
180,450,37.96,38.1,42.9,44.25,45.01,3.97,28.1
181,450,37.71,37.85,42.6,44.05,44.9,3.91,28.01
182,450,37.46,37.6,42.4,43.45,44.7,3.85,27.91
183,450,37.32,37.5,42.3,43.16,44.4,3.78,27.82
184,450,37.13,37.2,42.1,42.95,44.3,3.75,27.73
185,450,36.9,36.75,42.01,42.8,44.1,3.72,27.66
186,450,36.7,36.6,41.6,42.6,43.51,3.69,27.59
187,450,36.5,36.35,41.12,42.4,43.4,3.66,27.52
188,450,36.31,36.1,40.9,42.4,43.1,3.63,27.45
189,450,36.1,36.0,40.8,42.3,43.0,3.63,27.37
190,450,35.92,35.85,40.31,42.16,42.8,3.57,27.3
191,450,35.84,35.8,40.2,41.6,42.8,3.47,27.25
192,450,35.73,35.7,40.01,41.35,42.8,3.43,27.22
193,450,35.56,35.55,39.8,41.25,42.9,3.39,27.18
194,450,35.4,35.4,39.4,40.8,42.8,3.3,27.13
195,450,35.29,35.4,39.2,40.7,42.11,3.27,27.09
196,450,35.18,35.4,39.1,40.4,41.81,3.28,27.03
197,450,35.06,35.3,38.91,40.11,41.0,3.29,26.98
198,450,34.94,35.25,38.9,40.16,41.0,3.41,26.92
199,450,34.76,35.1,38.71,39.75,41.0,3.49,26.86
200,450,34.67,35.0,38.7,39.66,41.0,3.56,26.81
201,450,34.55,34.9,38.51,39.45,41.0,3.6,26.75
202,450,34.39,34.8,38.5,39.35,41.0,3.71,26.71
203,450,34.24,34.8,38.4,39.2,40.8,3.75,26.65
204,450,34.14,34.7,38.3,39.1,40.8,3.71,26.59
205,450,34.05,34.7,38.3,39.16,40.8,3.71,26.54
206,450,33.9,34.4,38.02,39.05,40.7,3.71,26.48
207,450,33.81,34.25,38.0,39.05,40.8,3.68,26.42
208,450,33.73,34.2,38.0,39.05,40.8,3.66,26.38
209,450,33.65,34.2,37.91,39.1,40.8,3.66,26.34
210,450,33.6,34.0,37.9,39.1,40.8,3.62,26.3
211,450,33.53,33.9,37.43,39.05,40.6,3.53,26.26
212,450,33.48,33.8,37.31,39.05,40.5,3.47,26.22
213,450,33.43,33.75,37.1,38.61,40.3,3.32,26.19
214,450,33.41,33.8,37.0,38.4,39.81,3.24,26.15
215,450,33.35,33.7,36.9,38.25,39.6,3.2,26.12
216,450,33.33,33.7,36.7,37.85,39.6,3.16,26.09
217,450,33.39,33.75,36.7,37.7,39.6,3.04,26.06
218,450,33.41,33.75,36.7,37.55,39.4,2.97,26.06
219,450,33.38,33.8,36.5,37.4,39.4,2.97,26.06
220,450,33.36,33.7,36.51,37.31,38.71,2.95,26.05
221,450,33.37,33.7,36.5,37.31,39.12,2.91,26.04
222,450,33.44,33.8,36.5,37.31,39.22,2.9,26.03
223,450,33.57,33.8,36.8,37.45,39.1,2.87,26.01
224,450,33.66,34.0,36.81,37.5,39.0,2.82,26.0
225,450,33.71,34.0,36.9,37.66,39.0,2.83,26.0
226,450,33.72,34.05,37.0,37.7,38.8,2.86,25.99
227,450,33.82,34.15,37.1,37.7,39.1,2.87,25.97
228,450,33.94,34.3,37.21,38.0,39.1,2.88,25.97
229,450,34.03,34.35,37.4,38.2,39.4,2.98,25.98
230,450,34.12,34.4,37.6,38.4,39.8,3.04,25.98
231,450,34.21,34.4,37.7,38.45,39.81,3.03,25.97
232,450,34.3,34.45,37.8,38.55,40.3,3.03,25.95
233,450,34.41,34.6,38.0,38.75,40.3,3.05,25.93
234,450,34.55,34.7,38.2,39.1,40.3,3.03,25.91
235,450,34.66,34.8,38.3,39.2,40.3,3.04,25.89
236,450,34.74,34.9,38.4,39.45,40.4,3.04,25.88
