facility_id,facility_name,description,latitude,longitude,kml_category
76,Krantivir Bankimchandra Pal Vyayam Vidhyalaya,"Nearer City Civic Centre,Chandkheda Gam,Ahmedabad<br>New Name-Chandkheda Vyayam Shala",23.116104,72.584394,Municipal Gym
77,Shree Makarchand Desai Vyayam Vidhyalaya,"Opposite Relience Fresh,AMC Garden,Bodakdev,Ahmedabad<br>New Name-Bodakdev Vyayam Shala",23.03965,72.520194,Municipal Gym
78,Krantivir Pandit Madanmohan Malviya Vyayam Vidhyalaya,"Under Shyama Prasad Bridge,Vejalpur,Ahmedabad<br>New Name-Vejalpur Vyayam Shala",23.010201,72.531543,Municipal Gym
79,Ghatlodiya Vyayam Shala,"Ghatlodiya,Ahmedabad",23.071903,72.542259,Municipal Gym
80,Swatantra Vir Savarkar Vyayam Vidhyalaya,"City Civic Center,Vasna,Ahmedabad<br>New Name-Vasna Vyayam Shala",23.004469,72.549783,Municipal Gym
81,Sardar bridge Vyayam Shala,"Behind jamalpur Vegetable Market,Sardar Bridge Health Quaters,Jamalpur,Ahmedabad,<br>New Name-Sardar Bridge Vyayam Shala",23.010842,72.578834,Municipal Gym
82,Raykhad Vyayam Vidhyalaya,"Near Gayakvad HAveli Road,Raykhad,Ahmedabad",23.013929,72.57884600000001,Municipal Gym
83,Krantivir Asraf Ullakhan Vyayam Vidhyalaya,"Sodagar Ni Pol,Jamalpur Darwaja,Jamalpur,Ahmedabad<br>New Name-Jamalpur Vyayam Shala",23.013873,72.579516,Municipal Gym
84,Sarashpur Vyayam Shala,"Nearer Balbhavan,Saraspur Muster,Saraspur,Ahmedabad",23.029609,72.611695,Municipal Gym
85,Krantivir Raja Rammohanray Vyayam Vidhyalaya,"Parimal Garden,Panchvati,Ahmedabad<br>New Name-Parimal Garden Vyayam Shala",23.020814,72.556864,Municipal Gym
86,Veer Chandrashekhar Aazad Vyayam Shala,"Opposite IDBI Bank,Municipal Staff Quaters,Lal Bunglow,Ellisbridge,ahmedabad<br>New Name-Ellisbridge Vyayam Shala",23.029757,72.555286,Municipal Gym
87,Krantivir Tatya Tope Vyayam Vidhyalaya,"Opposite Calico dom Relief Road,Kalupur,ahmedabad<br>New Name-Kalupur Vyayam Shala",23.02859,72.591609,Municipal Gym
88,Sardar Patel Vyayam Vidhyalaya,"Zupadi Ni Pol Sankadi Sheri,Khadiya,Ahmedabad<br>New Name-Sardar Patel Vyayam Shala",23.023445,72.589936,Municipal Gym
