ward_id,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities,healthcare_gap,hospital_gap,health_centre_gap,healthcare_vulnerability,heat_exposure,healthcare_facilities_per_km2,area_km2,facility_density_gap,vulnerability_score,risk_category
21,Dariyapur,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.6060658980864979,39.43,1.5490532875911616,1.2911111683640517,0.5101098301441631,0.500182949043249,Moderate
22,India colony,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.6640286088440225,39.43,1.2435857454715973,1.608252593182911,0.6067143480733708,0.5291643044220112,Moderate
23,Thakkarbapa Nagar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.772178630296316,39.43,0.9371310628819622,1.0670866003787098,0.7036310504938599,0.583239315148158,Moderate
24,Nikol,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.8035368844486132,39.43,0.5083673697723402,3.9341628100474875,0.8392281407476885,0.5989184422243066,Moderate
25,Virat Nagar,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,1.300389287593235,1.0,0.6971499999999999,High
26,Bapu Nagar,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.48900299821224735,39.43,2.1659829623878815,0.9233682973180481,0.3150049970204123,0.44165149910612367,Moderate
27,Saraspur-Rakhiyal,1,1,0,2,0.33333333333333337,0.0,0.6666666666666667,0.3431294807686471,39.43,1.8807326113605272,1.0634153881944943,0.4052158012810785,0.3687147403843235,Low
28,Khadia,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.3,39.43,3.1620419900383214,0.6325026695726332,0.0,0.34714999999999996,Low
29,Jamalpur,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.47584460214640306,39.43,2.235328630524139,0.8947230276073728,0.29307433691067186,0.4350723010732015,Moderate
30,Paldi,1,1,0,2,0.33333333333333337,0.0,0.6666666666666667,0.5053935131751728,39.43,1.0255898047899052,1.9500973885068067,0.6756558552919546,0.4498467565875864,Moderate
31,Vasna,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8519212181593798,39.43,0.5168820441864148,1.934677381904463,0.8365353635989664,0.6231106090796898,High
32,Vejalpur,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,0.9893714281263832,1.0,0.6971499999999999,High
33,Sarkhej,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9268643686170308,39.43,0.1219263964983278,8.201669439264654,0.9614406143617181,0.6605821843085153,High
34,Maktampura,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.857969882396046,39.43,0.22150166118325249,9.02927765559899,0.92994980399341,0.626134941198023,High
35,Baherampura,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8928402726036919,39.43,0.30123576361044996,3.3196589542175783,0.9047337876728199,0.643570136301846,High
36,Danilimda,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8179434609615305,39.43,0.6959472024979584,1.4368906095328886,0.7799057682692176,0.6061217304807652,High
37,Mani Nagar,2,1,0,3,0.0,0.0,0.33333333333333337,0.28604890978386655,39.43,1.9180477159727323,1.564090389940356,0.3934148496397776,0.34017445489193326,Low
38,Gomtipur,2,0,0,2,0.33333333333333337,1.0,0.33333333333333337,0.5603505943915599,39.43,1.789976137375742,1.1173333310086306,0.43391765731926635,0.47732529719577993,Moderate
39,Amraiwadi,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7731146193554076,39.43,0.932198335036855,1.0727330895312792,0.7051910322590127,0.5837073096777038,Moderate
40,Odhav,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8512173130480223,39.43,0.52059167338494,1.9208912687709705,0.8353621884133706,0.6227586565240111,High
41,Vastral,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,4.839989533108537,1.0,0.6971499999999999,High
42,Indrapuri,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.783037205725308,39.43,0.8799056104511762,1.136485536769387,0.7217286762088468,0.588668602862654,Moderate
43,Bhaipura Hatkeshwar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.6673442794313293,39.43,1.4896154286044583,0.6713142068734123,0.528907132385549,0.5308221397156647,Moderate
44,Khokhra,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7998328306144163,39.43,0.7913914918706877,1.263597107464732,0.7497213843573606,0.5970664153072082,Moderate
45,Isanpur,0,0,0,0,1.0,1.0,1.0,1.0,39.43,0.0,1.4093482923719274,1.0,0.6971499999999999,High
46,Lambha,3,0,0,3,0.0,1.0,0.0,0.8154804536756584,39.43,0.18192042492440205,16.490726652857507,0.942467422792764,0.6048902268378291,High
47,Vatva,3,0,0,3,0.0,1.0,0.0,0.7143648319553484,39.43,0.714806827805154,4.19693808635213,0.7739413865922473,0.5543324159776741,Moderate
48,Ramol Hathijan,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.9312105854472468,39.43,0.09902152964007115,10.098813900722948,0.9686843090787447,0.6627552927236233,High
