ward_id,ward_name,health_centre_count,hospital_count,clinic_count,total_health_facilities,healthcare_gap,hospital_gap,health_centre_gap,healthcare_vulnerability,heat_exposure,healthcare_facilities_per_km2,area_km2,facility_density_gap,vulnerability_score,risk_category,cluster,final_priority_score,final_priority_category
9,Naranpura,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8391775172736182,39.43,0.5840422397018593,1.7122049263260102,0.8152958621226971,0.6167387586368092,High,2,0.7057142620915328,High
12,Naroda,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.8267311677657251,39.43,0.3861318734764178,5.179577593513906,0.8778852796095418,0.6105155838828625,High,2,0.6970018174360075,High
36,Danilimda,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.8179434609615305,39.43,0.6959472024979584,1.4368906095328886,0.7799057682692176,0.6061217304807652,High,2,0.6908504226730713,High
46,Lambha,3,0,0,3,0.0,1.0,0.0,0.8154804536756584,39.43,0.181920424924402,16.490726652857507,0.942467422792764,0.6048902268378291,High,2,0.6891263175729608,High
24,Nikol,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.8035368844486132,39.43,0.5083673697723402,3.934162810047488,0.8392281407476885,0.5989184422243066,Moderate,2,0.6807658191140292,High
44,Khokhra,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7998328306144163,39.43,0.7913914918706877,1.263597107464732,0.7497213843573606,0.5970664153072082,Moderate,2,0.6781729814300914,High
3,Chandkheda,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.7966416820430269,39.43,0.5447055689994683,3.671708375726102,0.8277361367383781,0.5954708410215135,Moderate,2,0.6759391774301188,High
42,Indrapuri,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.783037205725308,39.43,0.8799056104511762,1.136485536769387,0.7217286762088468,0.588668602862654,Moderate,2,0.6664160440077156,High
13,Saijpur Bogha,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7740931227994259,39.43,0.9270415534078832,1.0787002980868714,0.7068218713323765,0.5841965613997129,Moderate,2,0.6601551859595981,High
39,Amraiwadi,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7731146193554076,39.43,0.932198335036855,1.0727330895312792,0.7051910322590127,0.5837073096777038,Moderate,2,0.6594702335487853,High
6,New Wadaj,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.7722457175442904,39.43,0.9367775083901432,1.0674893355611248,0.7037428625738174,0.5832728587721452,Moderate,2,0.6588620022810032,High
23,Thakkarbapa Nagar,1,0,0,1,0.6666666666666667,1.0,0.6666666666666667,0.772178630296316,39.43,0.9371310628819622,1.0670866003787098,0.7036310504938599,0.583239315148158,Moderate,2,0.6588150412074212,High
47,Vatva,3,0,0,3,0.0,1.0,0.0,0.7143648319553484,39.43,0.714806827805154,4.19693808635213,0.7739413865922473,0.5543324159776741,Moderate,0,0.6183453823687438,High
18,Navrangpura,3,0,0,3,0.0,1.0,0.0,0.7137109186483441,39.43,0.7182529966961407,4.176801229928122,0.7728515310805737,0.5540054593241721,Moderate,0,0.6178876430538408,High
10,S. P. Stadium,2,0,0,2,0.3333333333333333,1.0,0.3333333333333333,0.6927602479311818,39.43,1.0921679967445574,1.831220110790128,0.6546004132186363,0.543530123965591,Moderate,0,0.6032221735518273,High
